drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),very_high
sirolimus,1.11,100.0,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),very_high
docetaxel,1.11,67.53399608964267,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),high
paclitaxel,10.0,67.20210647111182,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),high
vinorelbine,10.0,51.64007078601655,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),high
vinblastine,10.0,50.24670947711227,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),high
NVP-BEZ235,10.0,35.7020989506774,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
NVP-AUY922,1.11,35.15984304870215,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
lestaurtinib,10.0,34.84103099594907,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
methotrexate,10.0,34.66462036114717,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
epirubicin,10.0,33.273115401073454,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
camptothecin,1.11,31.830229209734544,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
gemcitabine,10.0,31.718773934522925,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),moderate
staurosporine,10.0,29.976033048415974,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
GDC-0941,10.0,29.942780515747693,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
tanespimycin,10.0,27.06506827243698,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
SN-38,1.11,26.526017234676583,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
nutlin-3,10.0,26.008892290755398,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
topotecan,1.11,23.556746951114608,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
navitoclax,10.0,23.420142878082572,RB1(41); AKT1(23); PPARG(20); HES1(17); CCL2(15),low
