drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,0.37,100.0,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),very_high
temsirolimus,0.04,100.0,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),very_high
docetaxel,1.11,67.89056683547582,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),high
paclitaxel,10.0,67.55867721694497,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),high
vinorelbine,10.0,50.775913462129914,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),high
vinblastine,10.0,49.38255215322563,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
NVP-BEZ235,10.0,36.713520318095455,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
NVP-AUY922,1.11,36.0238721963308,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
lestaurtinib,10.0,35.83856693695708,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
epirubicin,10.0,34.14054028972215,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
camptothecin,1.11,32.68771342919764,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
methotrexate,10.0,32.46043985373817,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
gemcitabine,10.0,32.03597374411652,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
staurosporine,10.0,31.565419840172446,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
GDC-0941,10.0,30.3658243398869,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),moderate
SN-38,1.11,27.38350145413967,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),low
tanespimycin,10.0,27.378872341010528,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),low
nutlin-3,10.0,25.705112909226834,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),low
topotecan,1.11,24.414231170577693,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),low
lapatinib,10.0,23.918554175176666,RB1(24); KDM5A(21); JUN(17); EGR1(15); CCL2(15),low
