drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),very_high
sirolimus,1.11,99.41294477544974,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),very_high
docetaxel,1.11,66.59336288026725,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),high
paclitaxel,10.0,65.89759675867064,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),high
vinorelbine,10.0,49.74423745006648,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
vinblastine,10.0,48.350876141162196,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
NVP-BEZ235,10.0,33.932867049472875,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
NVP-AUY922,1.11,33.86724962299812,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
lestaurtinib,10.0,33.0579136683345,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
methotrexate,10.0,32.76527740758327,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
epirubicin,10.0,31.205708422232806,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
camptothecin,1.11,30.537635784030456,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),moderate
gemcitabine,10.0,29.92670549586565,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
GDC-0941,10.0,28.394795370984347,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
staurosporine,10.0,28.20680114721145,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
SN-38,1.11,25.233423808972553,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
tanespimycin,10.0,25.14598971900287,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
nutlin-3,10.0,24.058647225542543,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
topotecan,1.11,22.264153525410585,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
navitoclax,10.0,21.500080404031113,CHEK1(29); PPARG(23); RB1(22); KDM5A(17); JUN(15),low
