drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.11325447057982,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),very_high
docetaxel,10.0,60.68652612193605,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),high
vinorelbine,10.0,53.004578698750784,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),high
vinblastine,10.0,48.512415697957856,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),moderate
methotrexate,10.0,44.12192349839959,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),moderate
temsirolimus,10.0,43.115491685958425,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),moderate
MG-132,10.0,33.43868988543704,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),moderate
lestaurtinib,10.0,28.90717071201441,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
navitoclax,10.0,27.70103114336382,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
lapatinib,10.0,27.17300399578594,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
bortezomib,10.0,26.33171268092162,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
AZD-6482,10.0,23.9918173938916,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
ABT-737,10.0,23.770300109348096,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
foretinib,10.0,23.69654837543702,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
MK-1775,10.0,22.43197882512735,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
staurosporine,10.0,21.968213815503187,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
gemcitabine,10.0,20.396109388230123,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
sorafenib,10.0,19.79246598644622,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
epirubicin,10.0,18.157427214370053,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
nilotinib,10.0,17.316088685869406,KDM5A(21); EGR1(13); ABL1(10); CDKN1B(10); BRCA1(9),low
