drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),very_high
sirolimus,1.11,98.94502648020517,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),very_high
docetaxel,1.11,66.13326200084133,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),high
paclitaxel,10.0,65.43749587924472,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),high
vinorelbine,10.0,49.22730976598205,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
vinblastine,10.0,47.83394845707777,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
NVP-BEZ235,10.0,33.40114453791035,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
NVP-AUY922,1.11,33.32869361623429,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
lestaurtinib,10.0,32.52619115677197,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
methotrexate,10.0,32.23355489602071,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
epirubicin,10.0,30.828164509536975,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
camptothecin,1.11,30.00591327246791,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),moderate
gemcitabine,10.0,29.56988110365741,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
staurosporine,10.0,28.27032522741737,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
GDC-0941,10.0,27.86307285942181,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
SN-38,1.11,24.701701297410015,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
tanespimycin,10.0,24.634002807310566,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
nutlin-3,10.0,23.570993330427683,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
topotecan,1.11,21.73243101384804,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
lapatinib,10.0,21.510978561701215,KDM5A(27); CHEK1(24); RB1(19); CASP3(19); PMAIP1(16),low
