drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),very_high
sirolimus,1.11,99.95082444453972,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),very_high
docetaxel,1.11,67.13905996517587,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),high
paclitaxel,10.0,66.44329384357927,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),high
vinorelbine,10.0,50.21480328522471,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),high
vinblastine,10.0,48.82144197632043,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
NVP-BEZ235,10.0,34.40694250224491,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
NVP-AUY922,1.11,34.33449158056885,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
lestaurtinib,10.0,33.531989121106534,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
methotrexate,10.0,33.2393528603553,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
epirubicin,10.0,31.833962473871523,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
camptothecin,1.11,31.01171123680246,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
gemcitabine,10.0,30.575679067991956,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),moderate
GDC-0941,10.0,28.81357107562676,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
staurosporine,10.0,28.68087659998346,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
SN-38,1.11,25.707499261744562,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
tanespimycin,10.0,25.639800771645113,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
nutlin-3,10.0,24.57679129476223,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
topotecan,1.11,22.738228978182587,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
navitoclax,10.0,21.99487537729071,JUN(14); PPARG(12); CCL2(10); EGR1(10); HES1(9),low
