drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.21004185477328,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),high
docetaxel,10.0,59.78331350612948,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),high
vinorelbine,10.0,52.13357149405424,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),high
vinblastine,10.0,47.64140849326131,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),moderate
temsirolimus,10.0,44.067425110863084,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),moderate
methotrexate,10.0,43.54314785174246,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),moderate
MG-132,10.0,33.41250262126753,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),moderate
lestaurtinib,10.0,29.804464889322638,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
navitoclax,10.0,28.577928712831323,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
lapatinib,10.0,27.04632713660552,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
bortezomib,10.0,26.25967506933769,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
ABT-737,10.0,24.647197678815605,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
AZD-6482,10.0,23.887574371197655,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
staurosporine,10.0,22.920147240407886,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
foretinib,10.0,22.779690823326057,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
MK-1775,10.0,22.327735802433395,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
gemcitabine,10.0,20.324071776646186,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
epirubicin,10.0,19.08896403143403,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
sorafenib,10.0,18.489791865608897,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
nilotinib,10.0,16.399231133758438,PPARG(20); KDM5A(17); SRC(15); EGR1(14); HES1(14),low
