drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),very_high
sirolimus,1.11,99.93277039328706,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),very_high
docetaxel,1.11,67.10372474649316,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),high
paclitaxel,10.0,66.40795862489655,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),high
vinorelbine,10.0,50.179468066542015,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),high
vinblastine,10.0,48.78610675763773,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
NVP-AUY922,1.11,34.299156361886155,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
NVP-BEZ235,10.0,34.25877739863292,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
lestaurtinib,10.0,33.38382401749455,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
methotrexate,10.0,32.3862476874238,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
epirubicin,10.0,31.81590842261888,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
camptothecin,1.11,30.969831089954216,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
gemcitabine,10.0,30.55762501673932,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),moderate
staurosporine,10.0,29.11067692070987,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
GDC-0941,10.0,28.850816772503713,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
SN-38,1.11,25.665619114896312,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
tanespimycin,10.0,25.60446555296242,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
nutlin-3,10.0,24.558737243509587,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
topotecan,1.11,22.696348831334337,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
lapatinib,10.0,22.052188798992947,KDM5A(34); PMAIP1(17); PPARG(17); IKBKB(13); CHEK1(12),low
