drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),very_high
sirolimus,1.11,99.82644970549026,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),very_high
docetaxel,1.11,67.01713965856659,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),high
paclitaxel,10.0,66.32137353696999,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),high
vinorelbine,10.0,50.14378509026444,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),high
vinblastine,10.0,48.750423781360155,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
NVP-BEZ235,10.0,34.985633683597,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
NVP-AUY922,1.11,34.26347338560858,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
methotrexate,10.0,33.65508590430974,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
lestaurtinib,10.0,33.478252093576316,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
epirubicin,10.0,31.62604684747463,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
gemcitabine,10.0,31.000191650477372,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
camptothecin,1.11,30.934148113676674,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),moderate
staurosporine,10.0,29.242286613905534,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
GDC-0941,10.0,28.759834048096575,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
tanespimycin,10.0,26.181475185696947,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
SN-38,1.11,25.62993613861877,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
nutlin-3,10.0,25.104580364465377,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
topotecan,1.11,22.660665855056802,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
navitoclax,10.0,22.55628539121278,GATA3(12); CDKN1B(10); IKBKB(10); HSPB1(9); MYC(8),low
