drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),very_high
sirolimus,1.11,99.59423222319815,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),very_high
docetaxel,1.11,67.34410986674347,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),high
paclitaxel,10.0,66.64834374514686,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),high
vinorelbine,10.0,49.13345786753064,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
vinblastine,10.0,48.009073670116074,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
NVP-BEZ235,10.0,35.14017032609551,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
NVP-AUY922,1.11,34.50242510647609,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
lestaurtinib,10.0,34.27910237136717,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
epirubicin,10.0,32.42689712526555,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
camptothecin,1.11,31.77063839245936,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
methotrexate,10.0,31.72214098341707,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
gemcitabine,10.0,30.328692008353517,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),moderate
staurosporine,10.0,29.44405671765919,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
GDC-0941,10.0,29.088532408557917,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
SN-38,1.11,26.466426417401443,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
tanespimycin,10.0,25.257509218497304,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
nutlin-3,10.0,24.12492942202561,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
topotecan,1.11,23.497156133839468,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
dactinomycin,10.0,22.3761120577438,PPARG(88); GATA3(63); HES1(52); JUN(32); EZH2(29),low
