drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),very_high
sirolimus,1.11,100.0,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),very_high
docetaxel,1.11,67.25489537437534,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),high
paclitaxel,10.0,66.55912925277873,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),high
vinorelbine,10.0,50.33063869442418,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),high
vinblastine,10.0,48.9372773855199,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
NVP-BEZ235,10.0,34.540059078874435,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
NVP-AUY922,1.11,34.45032698976832,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
lestaurtinib,10.0,33.66510569773606,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
methotrexate,10.0,33.355188269554766,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
epirubicin,10.0,31.96707905050107,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
camptothecin,1.11,31.121001717836396,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
gemcitabine,10.0,30.7087956446215,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),moderate
GDC-0941,10.0,28.946687652256305,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
staurosporine,10.0,28.796712009182947,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
SN-38,1.11,25.8167897427785,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
tanespimycin,10.0,25.7556361808446,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
nutlin-3,10.0,24.709907871391774,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
topotecan,1.11,22.847519459216524,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
navitoclax,10.0,22.11394071220119,KDM5A(29); SRC(17); PPARG(15); CHEK1(14); PMAIP1(12),low
