drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,67.7270679819514,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),high
docetaxel,10.0,58.3003396333076,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),high
vinorelbine,10.0,50.98364183532076,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),high
vinblastine,10.0,46.491478834527825,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),moderate
methotrexate,10.0,42.43048630793126,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),moderate
temsirolimus,10.0,42.42762892413802,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),moderate
MG-132,10.0,31.793103042383187,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),moderate
lestaurtinib,10.0,28.219307950194022,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
navitoclax,10.0,26.492140488231758,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
lapatinib,10.0,25.48156680531763,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
bortezomib,10.0,24.640275490453302,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
ABT-737,10.0,22.561409454216033,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
AZD-6482,10.0,22.268174792313275,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
staurosporine,10.0,21.2803510536828,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
foretinib,10.0,21.108733271280865,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
MK-1775,10.0,20.37529200946062,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
gemcitabine,10.0,18.704672197761813,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
sorafenib,10.0,17.725678775601743,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
epirubicin,10.0,17.469564452549672,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
nilotinib,10.0,15.24930147502495,PPARG(28); EGR1(20); CCL2(15); KDM5A(12); AURKA(10),low
