drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.50890295448426,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),high
docetaxel,10.0,60.08217460584052,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),high
vinorelbine,10.0,52.43243259376527,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),high
vinblastine,10.0,47.94026959297234,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),moderate
methotrexate,10.0,44.293997678211085,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),moderate
temsirolimus,10.0,43.370608589256165,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),moderate
MG-132,10.0,33.65661441266301,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),moderate
lestaurtinib,10.0,29.090852599484638,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
navitoclax,10.0,27.86391593573538,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
lapatinib,10.0,27.00393921543423,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
bortezomib,10.0,26.503786860733133,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
AZD-6482,10.0,24.14427391149941,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
ABT-737,10.0,23.933184901719656,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
foretinib,10.0,23.095347691268113,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
staurosporine,10.0,22.206534950569893,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
MK-1775,10.0,22.204148816068805,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
gemcitabine,10.0,20.56818356804165,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
sorafenib,10.0,18.420954187559865,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
epirubicin,10.0,18.375351741596038,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
nilotinib,10.0,16.7148880017005,HMGCR(22); CDK4(22); PMAIP1(20); BCL2(19); HES1(15),low
