drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),very_high
sirolimus,1.11,99.50768279880147,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),very_high
docetaxel,1.11,66.6983727518778,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),high
paclitaxel,10.0,66.00260663028119,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),high
vinorelbine,10.0,49.839813011053764,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
vinblastine,10.0,48.44645170214948,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
NVP-AUY922,1.11,33.944706478919805,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
NVP-BEZ235,10.0,33.90432751566657,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
lestaurtinib,10.0,33.0293741345282,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
methotrexate,10.0,32.849567758706236,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
epirubicin,10.0,31.461458539652543,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
camptothecin,1.11,30.639207302583486,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
gemcitabine,10.0,30.203175133772984,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),moderate
GDC-0941,10.0,28.441067141407782,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
staurosporine,10.0,28.160980445975078,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
SN-38,1.11,25.334995327525583,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
tanespimycin,10.0,25.230280070125843,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
nutlin-3,10.0,24.153385248894267,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
topotecan,1.11,22.365725043963607,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
navitoclax,10.0,21.605090275641675,PPARG(30); HES1(13); CHEK1(12); PMAIP1(11); GATA3(10),low
