drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),very_high
sirolimus,1.11,100.0,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),very_high
docetaxel,1.11,67.93194406960608,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),high
paclitaxel,10.0,67.23617794800947,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),high
vinorelbine,10.0,49.52390690145481,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
vinblastine,10.0,48.399522704040244,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
NVP-BEZ235,10.0,35.72800452895811,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
NVP-AUY922,1.11,35.09025930933869,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
lestaurtinib,10.0,34.853051147819734,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
epirubicin,10.0,33.15502450058482,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
camptothecin,1.11,32.33277326351574,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
methotrexate,10.0,32.30997518627969,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
gemcitabine,10.0,31.056819383672757,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
staurosporine,10.0,30.031890920521754,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),moderate
GDC-0941,10.0,29.67636661142048,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),low
SN-38,1.11,27.02856128845776,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),low
tanespimycin,10.0,25.845343421359868,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),low
nutlin-3,10.0,24.71276362488818,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),low
topotecan,1.11,24.05929100489579,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),low
lapatinib,10.0,22.950319553469367,PPARG(63); GATA3(38); HES1(23); CHEK1(22); EGR1(14),low
