drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.36972705534147,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),high
docetaxel,10.0,59.942998706697665,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),high
vinorelbine,10.0,51.69926432034067,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),high
vinblastine,10.0,47.20710131954774,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),moderate
temsirolimus,10.0,45.01283866264517,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),moderate
methotrexate,10.0,44.52818670812494,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),moderate
MG-132,10.0,33.8472506538586,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),moderate
lestaurtinib,10.0,31.15700563745815,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),moderate
navitoclax,10.0,29.368682497795056,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
lapatinib,10.0,28.06497115639531,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
bortezomib,10.0,26.93934155385834,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
ABT-737,10.0,25.43795146377933,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
AZD-6482,10.0,24.599446266828323,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
staurosporine,10.0,24.218048740946884,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
foretinib,10.0,23.26759191274462,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
MK-1775,10.0,23.079027533807125,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
gemcitabine,10.0,21.15108603017734,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
epirubicin,10.0,20.671203819645683,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
sorafenib,10.0,19.395354444733503,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
tanespimycin,10.0,16.88545744307506,HES1(34); RB1(26); EGR1(24); CCL2(22); PMAIP1(19),low
