drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.22793043329122,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),high
docetaxel,10.0,58.801202084647436,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),high
vinorelbine,10.0,51.634590572174965,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),high
vinblastine,10.0,47.14242757138203,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),moderate
methotrexate,10.0,42.784938282388474,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),moderate
temsirolimus,10.0,42.77664411295212,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),moderate
MG-132,10.0,32.56078195757669,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),moderate
lestaurtinib,10.0,28.952744225631765,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
navitoclax,10.0,27.205180155828796,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
lapatinib,10.0,26.043123270520628,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
bortezomib,10.0,25.40795440564683,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
ABT-737,10.0,23.274449121813078,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
AZD-6482,10.0,22.885767421992416,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
staurosporine,10.0,22.068426576717034,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
foretinib,10.0,21.75968200813509,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
MK-1775,10.0,20.99288463913976,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
gemcitabine,10.0,19.059124172219033,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
sorafenib,10.0,18.321988264859485,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
epirubicin,10.0,18.237243367743186,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
nilotinib,10.0,15.900250211879172,CCL2(37); PPARG(22); CHEK1(17); RB1(14); PMAIP1(14),low
