drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),very_high
sirolimus,1.11,99.84553964390986,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),very_high
docetaxel,1.11,67.01649399711596,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),high
paclitaxel,10.0,66.32072787551935,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),high
vinorelbine,10.0,50.286112868489454,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),high
vinblastine,10.0,48.89275155958517,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
NVP-BEZ235,10.0,34.30165770161508,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
NVP-AUY922,1.11,34.21192561250896,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
lestaurtinib,10.0,33.440589746886744,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
methotrexate,10.0,33.116786892295416,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
epirubicin,10.0,31.588384500785015,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
camptothecin,1.11,30.906426436172634,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
gemcitabine,10.0,30.330101094905455,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),moderate
GDC-0941,10.0,28.70828627499693,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
staurosporine,10.0,28.55831063192357,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
SN-38,1.11,25.60221446111473,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
tanespimycin,10.0,25.517234803585225,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
nutlin-3,10.0,24.4715064941324,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
topotecan,1.11,22.632944177552755,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
navitoclax,10.0,21.872309409230823,HES1(19); CHEK1(16); PPARG(14); JUN(14); CDK4(13),low
