drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),very_high
sirolimus,1.11,100.0,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),very_high
docetaxel,1.11,67.47410761531549,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),high
paclitaxel,10.0,66.77834149371888,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),high
vinorelbine,10.0,50.56464576284245,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),high
vinblastine,10.0,49.17128445393817,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
NVP-AUY922,1.11,34.669539230708494,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
NVP-BEZ235,10.0,34.611879100025206,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
lestaurtinib,10.0,33.73692571888683,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
methotrexate,10.0,33.574400510494954,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
epirubicin,10.0,32.014831525144416,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
camptothecin,1.11,31.322932791346524,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
gemcitabine,10.0,30.75654811926489,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),moderate
GDC-0941,10.0,29.148618725766404,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
staurosporine,10.0,28.885813197763756,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
SN-38,1.11,26.0187208162886,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
tanespimycin,10.0,25.974848421784756,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
nutlin-3,10.0,24.911838944901874,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
topotecan,1.11,23.049450532726624,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
navitoclax,10.0,22.329923027430354,PPARG(12); HSPB1(11); EGR1(11); KDM5A(10); HES1(8),low
