drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),very_high
sirolimus,1.11,100.0,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),very_high
docetaxel,1.11,67.03553680944215,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),high
paclitaxel,10.0,66.7036471909113,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),high
vinorelbine,10.0,51.07117480245366,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),high
vinblastine,10.0,49.67781349354938,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
NVP-BEZ235,10.0,35.24851919199576,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
NVP-AUY922,1.11,34.569318742459856,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
lestaurtinib,10.0,34.373565810857386,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
methotrexate,10.0,34.080929550106184,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
epirubicin,10.0,32.675539163622425,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
camptothecin,1.11,31.222712303097875,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
gemcitabine,10.0,31.206429227912377,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
staurosporine,10.0,30.117699881502773,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),moderate
GDC-0941,10.0,29.49962098367677,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),low
tanespimycin,10.0,26.481377461395976,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),low
SN-38,1.11,25.918500328039972,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),low
nutlin-3,10.0,25.418367984513086,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),low
topotecan,1.11,22.949230044477996,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),low
lapatinib,10.0,22.92910070742651,CCL2(24); CASP3(20); HDAC2(15); EGR1(14); CHEK1(14),low
