drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.17256353030189,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),high
docetaxel,10.0,59.745835181658144,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),high
vinorelbine,10.0,52.06388775847288,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),high
vinblastine,10.0,47.57172475767995,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),moderate
methotrexate,10.0,43.7998237036783,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),moderate
temsirolimus,10.0,43.07424310636587,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),moderate
MG-132,10.0,33.11659009071576,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),moderate
lestaurtinib,10.0,28.865922132421858,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
navitoclax,10.0,27.65978256377127,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
lapatinib,10.0,26.850904201064655,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
bortezomib,10.0,26.009612886200333,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
ABT-737,10.0,23.72905152975555,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
AZD-6482,10.0,23.68230534807662,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
foretinib,10.0,22.755857435159125,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
MK-1775,10.0,22.109879030406063,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
staurosporine,10.0,21.926965235910636,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
gemcitabine,10.0,20.07400959350883,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
sorafenib,10.0,18.85177504616832,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
epirubicin,10.0,18.116178634777494,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
nilotinib,10.0,16.375397745591506,RB1(27); HSPB1(24); CDK4(21); CCND1(16); CCL2(14),low
