drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),very_high
temsirolimus,0.37,100.0,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),very_high
paclitaxel,10.0,67.46822344351294,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),high
docetaxel,1.11,67.00625626747866,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),high
vinorelbine,10.0,51.921012275481154,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),high
vinblastine,10.0,50.7966280780666,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),high
NVP-BEZ235,10.0,36.80237681645686,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
methotrexate,10.0,35.48911020459965,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
lestaurtinib,10.0,35.294995226436164,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
NVP-AUY922,1.11,34.696891363473505,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
epirubicin,10.0,33.59696857920123,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
gemcitabine,10.0,32.3853586895557,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
camptothecin,1.11,31.374111019707193,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
staurosporine,10.0,31.07631091419541,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
GDC-0941,10.0,30.335818868415046,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),moderate
tanespimycin,10.0,28.0154994859868,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),low
nutlin-3,10.0,26.921323497325176,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),low
SN-38,1.11,26.069899044649205,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),low
navitoclax,10.0,24.36959017101505,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),low
dactinomycin,10.0,24.012619216298848,PPARG(60); HES1(24); CCL2(23); CHEK1(22); RB1(18),low
