drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.04218827635135,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),high
docetaxel,10.0,59.61545992770757,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),high
vinorelbine,10.0,51.933512504522305,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),high
vinblastine,10.0,47.44134950372938,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),moderate
methotrexate,10.0,43.72419775804328,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),moderate
temsirolimus,10.0,43.675490026835575,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),moderate
MG-132,10.0,33.04096414508074,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),moderate
lestaurtinib,10.0,29.46716905289158,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
navitoclax,10.0,28.261029484240986,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
lapatinib,10.0,26.775278255429647,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
bortezomib,10.0,25.93398694056532,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
ABT-737,10.0,24.33029845022526,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
AZD-6482,10.0,23.59409165353531,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
foretinib,10.0,22.625482181208554,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
staurosporine,10.0,22.52821215638036,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
MK-1775,10.0,22.034253084771056,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
gemcitabine,10.0,19.998383647873837,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
sorafenib,10.0,18.721399792217756,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
epirubicin,10.0,18.717425555247218,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
nilotinib,10.0,16.245022491640935,HES1(25); CCL2(16); PPARG(12); HSPB1(10); CDKN1B(9),low
