drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.98349414744527,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),high
docetaxel,10.0,60.5567657988015,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),high
vinorelbine,10.0,52.874818375616236,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),high
vinblastine,10.0,48.38265537482331,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),moderate
methotrexate,10.0,43.937413866949484,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),moderate
temsirolimus,10.0,42.93098205450832,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),moderate
MG-132,10.0,33.25418025398694,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),moderate
lestaurtinib,10.0,28.722661080564315,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
navitoclax,10.0,27.516521511913734,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
lapatinib,10.0,26.988494364335853,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
bortezomib,10.0,26.147203049471525,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
AZD-6482,10.0,23.807307762441514,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
ABT-737,10.0,23.58579047789801,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
foretinib,10.0,23.56678805230249,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
MK-1775,10.0,22.24746919367726,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
staurosporine,10.0,21.7837041840531,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
gemcitabine,10.0,20.211599756780036,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
sorafenib,10.0,19.331528342181812,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
epirubicin,10.0,17.972917582919965,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
nilotinib,10.0,17.18632836273487,PPARG(20); CCND1(9); CDKN1B(8); CDK4(8); HES1(7),low
