drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),very_high
sirolimus,1.11,100.0,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),very_high
docetaxel,1.11,67.54708852892884,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),high
paclitaxel,10.0,67.21519891039799,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),high
vinorelbine,10.0,50.41764032810483,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),high
vinblastine,10.0,49.02427901920055,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
NVP-BEZ235,10.0,36.352760844118414,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
NVP-AUY922,1.11,35.67356039458251,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
lestaurtinib,10.0,35.47780746298004,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
epirubicin,10.0,33.77978081574511,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
methotrexate,10.0,32.93473150143999,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
camptothecin,1.11,32.3269539552206,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
gemcitabine,10.0,31.675214270139445,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
staurosporine,10.0,31.03646036248451,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
GDC-0941,10.0,30.005064865909855,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),moderate
tanespimycin,10.0,27.035394034463533,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),low
SN-38,1.11,27.022741980162618,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),low
nutlin-3,10.0,25.337519940048484,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),low
topotecan,1.11,24.05347169660065,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),low
dactinomycin,10.0,23.539177148364814,CHEK1(27); JUN(19); HDAC6(18); PPARG(18); RB1(17),low
