drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.55692777835901,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),high
docetaxel,10.0,59.13019942971525,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),high
vinorelbine,10.0,51.448252006529984,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),high
vinblastine,10.0,46.956089005737056,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),moderate
methotrexate,10.0,43.23893726005096,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),moderate
temsirolimus,10.0,42.51335666273853,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),moderate
MG-132,10.0,32.55570364708842,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),moderate
lestaurtinib,10.0,28.305035688794526,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
navitoclax,10.0,27.098896120143937,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
lapatinib,10.0,25.90552321144622,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
bortezomib,10.0,25.448726442572994,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
ABT-737,10.0,23.168165086128212,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
AZD-6482,10.0,23.121418904449282,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
foretinib,10.0,22.14022168321623,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
staurosporine,10.0,21.366078792283304,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
MK-1775,10.0,21.164498040787635,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
gemcitabine,10.0,19.513123149881505,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
epirubicin,10.0,17.555292191150162,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
sorafenib,10.0,17.520467427104457,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
nilotinib,10.0,15.759761993648596,HDAC2(19); HES1(18); PARP1(15); EGR1(13); SRC(13),low
