drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.969818054768,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),high
docetaxel,10.0,59.54308970612418,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),high
vinorelbine,10.0,51.42196290415424,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),high
vinblastine,10.0,46.929799903361314,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),moderate
methotrexate,10.0,43.79487467213567,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),moderate
temsirolimus,10.0,43.23163682976071,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),moderate
MG-132,10.0,33.068088270454865,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),moderate
lestaurtinib,10.0,30.3028073986172,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),moderate
navitoclax,10.0,27.867070535147406,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
lapatinib,10.0,26.892525326818458,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
bortezomib,10.0,26.206029517869062,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
ABT-737,10.0,23.936339501131688,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
AZD-6482,10.0,23.87872197974535,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
staurosporine,10.0,23.41848974970242,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
foretinib,10.0,22.72230833398006,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
MK-1775,10.0,21.83861336743968,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
gemcitabine,10.0,20.41777399418806,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
epirubicin,10.0,19.892041436241932,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
sorafenib,10.0,18.724769582373963,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
nilotinib,10.0,16.579598142117288,PPARG(34); CCL2(23); EGR1(19); HES1(15); JUN(9),low
