drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.46475574326601,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),high
docetaxel,10.0,59.03802739462228,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),high
vinorelbine,10.0,51.53837166806141,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),high
vinblastine,10.0,47.04620866726848,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),moderate
methotrexate,10.0,43.041459120086486,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),moderate
temsirolimus,10.0,42.075440869416674,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),moderate
MG-132,10.0,32.81730279527471,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),moderate
lestaurtinib,10.0,28.251540982096312,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
navitoclax,10.0,26.921616779369234,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
lapatinib,10.0,26.29964410821862,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
bortezomib,10.0,25.664475243344828,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
AZD-6482,10.0,23.142288259690414,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
ABT-737,10.0,22.990885745353516,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
foretinib,10.0,22.184490997333203,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
MK-1775,10.0,21.58244969092616,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
staurosporine,10.0,21.367223333181574,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
gemcitabine,10.0,19.315645009917038,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
sorafenib,10.0,18.225769360745915,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
epirubicin,10.0,17.53604012420772,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
nilotinib,10.0,15.804031307765566,PPARG(38); CCND1(19); EGR1(15); SRC(14); RB1(13),low
