drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),very_high
sirolimus,1.11,100.0,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),very_high
docetaxel,1.11,67.45159195236836,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),high
paclitaxel,10.0,66.75582583077176,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),high
vinorelbine,10.0,50.5782373840662,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),high
vinblastine,10.0,49.18487607516192,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
NVP-BEZ235,10.0,34.78765776851645,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
NVP-AUY922,1.11,34.69792567941034,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
lestaurtinib,10.0,33.91270438737808,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
methotrexate,10.0,33.60278695919679,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
epirubicin,10.0,32.06049914127637,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
camptothecin,1.11,31.368600407478414,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
gemcitabine,10.0,30.80221573539681,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),moderate
GDC-0941,10.0,29.194286341898323,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
staurosporine,10.0,29.044310698824965,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
SN-38,1.11,26.064388432420518,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
tanespimycin,10.0,25.983499270616377,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
nutlin-3,10.0,24.906604449384808,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
topotecan,1.11,23.095118148858543,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
navitoclax,10.0,22.358309476132217,KDM5A(19); GATA3(12); JUN(12); HES1(9); SMAD3(9),low
