drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.45904977949615,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),high
docetaxel,10.0,60.03232143085239,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),high
vinorelbine,10.0,52.5004602931815,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),high
vinblastine,10.0,48.00829729238857,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),moderate
methotrexate,10.0,43.87791860596618,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),moderate
temsirolimus,10.0,43.12650461516992,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),moderate
MG-132,10.0,33.607911933739935,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),moderate
lestaurtinib,10.0,29.357243975446057,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
navitoclax,10.0,28.151104406795476,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
lapatinib,10.0,27.190742841694806,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
bortezomib,10.0,26.500934729224525,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
ABT-737,10.0,24.22037337277975,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
AZD-6482,10.0,24.010953156680134,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
foretinib,10.0,23.19242996986776,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
MK-1775,10.0,22.45111458791588,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
staurosporine,10.0,22.418287078934842,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
gemcitabine,10.0,20.15210449579675,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
sorafenib,10.0,18.957170259747084,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
epirubicin,10.0,18.6075004778017,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
nilotinib,10.0,16.81197028030014,EGR1(32); PPARG(21); KDM5A(17); SRC(15); CCND1(13),low
