drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),very_high
sirolimus,1.11,99.67726078556855,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),very_high
docetaxel,1.11,66.8654963062047,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),high
paclitaxel,10.0,66.1697301846081,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),high
vinorelbine,10.0,49.941239626253534,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
vinblastine,10.0,48.54787831734925,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
NVP-BEZ235,10.0,34.13337884327373,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
NVP-AUY922,1.11,34.060927921597674,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
lestaurtinib,10.0,33.25842546213536,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
methotrexate,10.0,32.9657892013841,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
epirubicin,10.0,31.560398814900346,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
camptothecin,1.11,30.73814757783129,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
gemcitabine,10.0,30.302115409020786,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),moderate
GDC-0941,10.0,28.59530716478518,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
staurosporine,10.0,28.407312941012282,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
SN-38,1.11,25.433935602773385,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
tanespimycin,10.0,25.366237112673943,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
nutlin-3,10.0,24.303227635791053,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
topotecan,1.11,22.46466531921141,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
navitoclax,10.0,21.721311718319534,CCL2(28); JUN(21); CHEK1(16); PPARG(15); PMAIP1(14),low
