drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.90825526589505,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),very_high
sirolimus,1.11,98.64345441607801,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),very_high
docetaxel,1.11,65.79915710970663,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),high
paclitaxel,10.0,65.10339098811002,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),high
vinorelbine,10.0,48.89320487484742,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
vinblastine,10.0,47.49984356594314,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
NVP-BEZ235,10.0,33.44045891389,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
NVP-AUY922,1.11,33.00142222030097,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
methotrexate,10.0,32.40298032435976,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
lestaurtinib,10.0,32.061975213278,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
epirubicin,10.0,30.33988101953563,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),moderate
camptothecin,1.11,29.67368161754394,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
gemcitabine,10.0,29.585127933129687,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
staurosporine,10.0,28.30963960339701,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
GDC-0941,10.0,27.47366822015758,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
tanespimycin,10.0,24.80342823564956,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
SN-38,1.11,24.369469642486024,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
nutlin-3,10.0,23.747252253967975,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
lapatinib,10.0,21.6804039900402,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
topotecan,1.11,21.40019935892405,CCL2(27); CHEK1(26); SRC(19); ERBB2(17); KDM5A(12),low
