drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,75.65942386398861,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),very_high
docetaxel,10.0,64.4705715038383,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),high
vinorelbine,10.0,58.036453264762336,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),high
vinblastine,10.0,53.753693630478026,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),high
methotrexate,10.0,50.658229181967805,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),high
temsirolimus,10.0,49.56262088689666,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
MG-132,10.0,40.870279247533226,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
lestaurtinib,10.0,36.809890493572524,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
lapatinib,10.0,35.177205683312245,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
bortezomib,10.0,34.008220494947416,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
navitoclax,10.0,32.17951998013494,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
AZD-6482,10.0,30.99190830333731,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
staurosporine,10.0,30.206689134551766,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),moderate
MK-1775,10.0,29.47569758964085,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
ABT-737,10.0,28.248788946119234,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
gemcitabine,10.0,28.219964971266396,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
foretinib,10.0,28.04008816297409,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
epirubicin,10.0,26.39912453119722,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
sorafenib,10.0,26.382062774916037,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
nilotinib,10.0,23.852396788668266,SRC(57); CCL2(47); PMAIP1(38); EGR1(21); HDAC2(19),low
