drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),very_high
sirolimus,1.11,100.0,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),very_high
docetaxel,1.11,67.73146234993978,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),high
paclitaxel,10.0,67.39957273140892,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),high
vinorelbine,10.0,51.85233187379181,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),high
vinblastine,10.0,50.45897056488753,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),high
NVP-BEZ235,10.0,36.02967626333391,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
NVP-AUY922,1.11,35.350475813798006,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
lestaurtinib,10.0,35.154722882195536,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
methotrexate,10.0,34.862086621444334,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
epirubicin,10.0,33.456696234960575,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
camptothecin,1.11,32.003869374436036,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
gemcitabine,10.0,31.902354768410014,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
staurosporine,10.0,30.71337578169999,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
GDC-0941,10.0,30.140246776044812,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),moderate
tanespimycin,10.0,27.2625345327341,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),low
SN-38,1.11,26.699657399378104,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),low
nutlin-3,10.0,26.19952505585122,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),low
topotecan,1.11,23.73038711581613,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),low
navitoclax,10.0,23.620839064090692,RB1(35); CCL2(19); JUN(16); EGR1(15); GATA3(15),low
