drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.05499643626983,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),very_high
docetaxel,10.0,61.62826808762604,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),high
vinorelbine,10.0,54.58426415954063,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),high
vinblastine,10.0,50.092101158747695,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),high
methotrexate,10.0,46.133201958980166,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),moderate
temsirolimus,10.0,44.787104243062586,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),moderate
MG-132,10.0,35.86319528675392,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),moderate
lestaurtinib,10.0,31.277036865734853,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),moderate
navitoclax,10.0,29.44648137753679,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
lapatinib,10.0,29.391386947112316,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
bortezomib,10.0,28.756218082238526,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
AZD-6482,10.0,26.23403109858411,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
ABT-737,10.0,25.515750343521074,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
foretinib,10.0,24.441373432922624,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
staurosporine,10.0,24.392719216820094,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
MK-1775,10.0,24.218540731344387,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
gemcitabine,10.0,22.407387848810735,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
sorafenib,10.0,20.98633487850974,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
epirubicin,10.0,20.581932615686952,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
nilotinib,10.0,18.89577414665928,RB1(21); SRC(20); HSPA1A(18); HES1(16); CDK4(14),low
