drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.70956162953141,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),very_high
sirolimus,1.11,98.40704925770875,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),very_high
docetaxel,1.11,65.5952847783449,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),high
paclitaxel,10.0,64.89951865674837,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),high
vinorelbine,10.0,48.67102809839371,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
vinblastine,10.0,47.27766678948943,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
NVP-AUY922,1.11,34.105468553450756,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
methotrexate,10.0,33.51386015271081,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
NVP-BEZ235,10.0,33.36669763488754,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
lestaurtinib,10.0,32.00209936068555,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
epirubicin,10.0,31.618824873163458,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
gemcitabine,10.0,30.864071786757517,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
camptothecin,1.11,30.782688209684363,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),moderate
staurosporine,10.0,29.55063048410744,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
GDC-0941,10.0,28.639847796638254,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
tanespimycin,10.0,25.914308064000636,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
SN-38,1.11,25.47847623462646,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
nutlin-3,10.0,24.851298587117753,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
lapatinib,10.0,22.79128381839128,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
topotecan,1.11,22.509205951064484,CASP3(18); CCL2(17); KDM5A(17); SRC(14); AKT1(12),low
