drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.00311746945341,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),high
docetaxel,10.0,59.57638912080964,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),high
vinorelbine,10.0,51.92664710873439,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),high
vinblastine,10.0,47.434484107941465,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),moderate
methotrexate,10.0,44.04683203521707,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),moderate
temsirolimus,10.0,43.10664717803109,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),moderate
MG-132,10.0,33.40944876966899,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),moderate
lestaurtinib,10.0,28.8983262040871,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
navitoclax,10.0,27.56840200136002,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
lapatinib,10.0,27.097912532603445,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
bortezomib,10.0,26.256621217739124,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
AZD-6482,10.0,23.88452051959909,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
ABT-737,10.0,23.637670967344295,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
foretinib,10.0,22.57276643800619,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
MK-1775,10.0,22.324681950834844,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
staurosporine,10.0,21.959369307575876,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
gemcitabine,10.0,20.321017925047627,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
sorafenib,10.0,18.668684049015393,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
epirubicin,10.0,18.128186098602022,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
nilotinib,10.0,16.19230674843858,EGR1(23); CCL2(21); KDM5A(16); PPARG(15); HSPB1(14),low
