drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),very_high
sirolimus,1.11,99.49244520203816,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),very_high
docetaxel,1.11,66.22456604720148,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),high
paclitaxel,10.0,65.89267642867058,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),high
vinorelbine,10.0,50.345435571053464,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),high
vinblastine,10.0,48.95207426214918,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
NVP-AUY922,1.11,35.16516516597387,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
methotrexate,10.0,35.07353304317949,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
NVP-BEZ235,10.0,34.92637052535616,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
lestaurtinib,10.0,33.64782657945719,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
epirubicin,10.0,33.11037349306842,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
gemcitabine,10.0,31.959622591278478,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
camptothecin,1.11,31.837424563216903,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
staurosporine,10.0,30.515056782807655,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),moderate
GDC-0941,10.0,29.94810263301942,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),low
tanespimycin,10.0,27.473980954469308,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),low
SN-38,1.11,26.53321258815896,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),low
nutlin-3,10.0,26.417804972787724,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),low
navitoclax,10.0,23.763366000394427,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),low
topotecan,1.11,23.563942304596985,RB1(45); AKT1(28); JUN(24); AXIN1(22); CASP3(22),low
