drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.5751459145133,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),high
docetaxel,10.0,60.14841756586955,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),high
vinorelbine,10.0,52.46647014268429,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),high
vinblastine,10.0,47.97430714189136,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),moderate
temsirolimus,10.0,43.5555038189661,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),moderate
methotrexate,10.0,43.53796459491863,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),moderate
MG-132,10.0,32.90058132937055,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),moderate
lestaurtinib,10.0,29.347182845022118,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
navitoclax,10.0,28.12064666853081,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
lapatinib,10.0,26.589045092305,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
bortezomib,10.0,25.74775377744068,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
ABT-737,10.0,24.189915634515085,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
AZD-6482,10.0,23.407858490410668,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
foretinib,10.0,23.112589471956085,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
staurosporine,10.0,22.408225948510896,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
MK-1775,10.0,21.848019921646415,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
gemcitabine,10.0,19.812150484749196,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
sorafenib,10.0,18.87732976183541,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
epirubicin,10.0,18.577042739537042,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
nilotinib,10.0,16.732129782388473,CCL2(48); EGR1(31); HDAC2(29); CCND1(19); RB1(17),low
