drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,98.70614496124143,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),very_high
sirolimus,1.11,97.4413441114244,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),very_high
docetaxel,1.11,65.17759276257385,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),high
paclitaxel,10.0,64.48182664097726,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),high
vinorelbine,10.0,48.26813091010083,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
vinblastine,10.0,46.87476960119655,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
NVP-AUY922,1.11,33.122482239736414,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
methotrexate,10.0,32.99622838222685,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
NVP-BEZ235,10.0,32.866347031833584,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
lestaurtinib,10.0,31.587803085934574,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
epirubicin,10.0,31.0503499995458,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
camptothecin,1.11,30.35845126574784,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
gemcitabine,10.0,30.19565715842684,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),moderate
staurosporine,10.0,28.467704415680092,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
GDC-0941,10.0,28.23943694829735,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
SN-38,1.11,25.05423929068995,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
tanespimycin,10.0,24.831381995573288,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
nutlin-3,10.0,24.350947984063815,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
lapatinib,10.0,22.273652047907305,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
topotecan,1.11,22.084969007127974,CHEK1(25); RB1(22); GATA3(22); STAT3(16); AKT1(16),low
