drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),very_high
sirolimus,1.11,100.0,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),very_high
docetaxel,1.11,66.86294327445695,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),high
paclitaxel,10.0,66.5310536559261,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),high
vinorelbine,10.0,50.786457318955854,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),high
vinblastine,10.0,49.66207312154129,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
NVP-BEZ235,10.0,35.23277881998767,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
NVP-AUY922,1.11,34.56041186565307,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
lestaurtinib,10.0,34.3578254388493,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
methotrexate,10.0,34.065189178098095,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
epirubicin,10.0,32.65979879161434,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
camptothecin,1.11,31.206971931089782,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
gemcitabine,10.0,30.815760693086467,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),moderate
staurosporine,10.0,29.506712917726215,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
GDC-0941,10.0,29.343349332698587,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
tanespimycin,10.0,26.445901489517635,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
SN-38,1.11,25.902759956031872,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
nutlin-3,10.0,25.358558996057308,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
topotecan,1.11,22.933489672469896,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
navitoclax,10.0,22.80322210025687,PPARG(27); KDM5A(26); HDAC2(21); RB1(17); HES1(16),low
