drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.7811354331995,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),high
docetaxel,10.0,60.35440708455572,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),high
vinorelbine,10.0,52.672459661370446,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),high
vinblastine,10.0,48.18029666057752,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),moderate
temsirolimus,10.0,44.906161252860926,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),moderate
methotrexate,10.0,44.33663396805028,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),moderate
MG-132,10.0,33.65340035508774,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),moderate
lestaurtinib,10.0,30.643201031320476,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),moderate
navitoclax,10.0,29.43706146266984,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
lapatinib,10.0,27.33307521784016,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
bortezomib,10.0,26.546423150572323,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
ABT-737,10.0,25.50633042865412,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
AZD-6482,10.0,24.21911561244862,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
staurosporine,10.0,23.75888338240569,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
foretinib,10.0,23.364429338056702,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
MK-1775,10.0,22.646689294778046,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
gemcitabine,10.0,20.610819857880827,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
epirubicin,10.0,19.948096781272547,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
sorafenib,10.0,19.074530380339542,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
nilotinib,10.0,16.98396964848909,CHEK1(21); RB1(21); CCND1(17); BCL2(14); KDM5A(13),low
