drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),very_high
sirolimus,1.11,99.27297501209492,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),very_high
docetaxel,1.11,66.46121053273107,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),high
paclitaxel,10.0,65.76544441113447,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),high
vinorelbine,10.0,49.55174868025798,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
vinblastine,10.0,48.1583873713537,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
NVP-AUY922,1.11,33.65664214812402,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
NVP-BEZ235,10.0,33.59898201744073,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
lestaurtinib,10.0,32.72402863630236,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
methotrexate,10.0,32.56150342791045,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
epirubicin,10.0,31.156113041426696,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
camptothecin,1.11,30.333861804357632,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),moderate
gemcitabine,10.0,29.89782963554713,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
GDC-0941,10.0,28.19102139131153,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
staurosporine,10.0,27.687434944038372,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
SN-38,1.11,25.029649829299736,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
tanespimycin,10.0,24.961951339200287,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
nutlin-3,10.0,23.898941862317404,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
topotecan,1.11,22.06037954573776,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
navitoclax,10.0,21.320255870556878,KDM5A(33); JUN(20); PPARG(17); HSPB1(17); RB1(15),low
