drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.15103013098178,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),high
docetaxel,10.0,59.72430178233807,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),high
vinorelbine,10.0,52.0423543591528,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),high
vinblastine,10.0,47.550191358359875,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),moderate
methotrexate,10.0,43.77829030435822,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),moderate
temsirolimus,10.0,42.77185849191706,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),moderate
MG-132,10.0,33.095056691395676,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),moderate
lestaurtinib,10.0,28.56353751797304,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
navitoclax,10.0,27.357397949322458,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
lapatinib,10.0,26.44487625575348,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
bortezomib,10.0,25.98807948688025,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
AZD-6482,10.0,23.660771948756544,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
ABT-737,10.0,23.42666691530674,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
foretinib,10.0,22.73432403583904,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
MK-1775,10.0,21.70385108509489,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
staurosporine,10.0,21.624580621461824,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
gemcitabine,10.0,20.05247619418876,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
sorafenib,10.0,18.114569779727276,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
epirubicin,10.0,17.813794020328682,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
nilotinib,10.0,16.35386434627143,RB1(52); HSPB1(26); HES1(19); PPARG(19); KDM5A(19),low
