drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),very_high
sirolimus,1.11,99.43678117811642,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),very_high
docetaxel,1.11,66.61818320355128,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),high
paclitaxel,10.0,65.92241708195468,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),high
vinorelbine,10.0,49.712230968691976,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
vinblastine,10.0,48.318869659787694,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
NVP-AUY922,1.11,33.82044831414552,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
NVP-BEZ235,10.0,33.75595468826093,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
lestaurtinib,10.0,32.88100130712255,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
methotrexate,10.0,32.71847609873065,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
epirubicin,10.0,31.31308571224689,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
camptothecin,1.11,30.46700837958222,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
gemcitabine,10.0,30.054802306367325,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),moderate
GDC-0941,10.0,28.29269431400213,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
staurosporine,10.0,28.029888785999482,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
SN-38,1.11,25.162796404524325,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
tanespimycin,10.0,25.118924010020482,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
nutlin-3,10.0,24.062748028338905,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
topotecan,1.11,22.19352612096235,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
navitoclax,10.0,21.477228541377073,KDM5A(40); PPARG(24); HSPB1(17); RB1(14); CHEK1(13),low
