drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.67466571935829,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),high
docetaxel,10.0,60.247937370714496,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),high
vinorelbine,10.0,52.688597531916294,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),high
vinblastine,10.0,48.196434531123366,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),moderate
methotrexate,10.0,44.14402423701898,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),moderate
temsirolimus,10.0,43.33049794965838,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),moderate
MG-132,10.0,33.96752865912959,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),moderate
lestaurtinib,10.0,29.3813702381105,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
navitoclax,10.0,28.175230669459918,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
lapatinib,10.0,27.647203521882037,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
bortezomib,10.0,26.860551454614193,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
AZD-6482,10.0,24.520656167584182,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
ABT-737,10.0,24.2444996354442,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
foretinib,10.0,23.066734698609974,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
MK-1775,10.0,22.838210014432853,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
staurosporine,10.0,22.497052589195768,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
gemcitabine,10.0,20.924948161922696,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
sorafenib,10.0,19.090668250885408,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
epirubicin,10.0,18.686265988062626,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
nilotinib,10.0,17.000107519034955,PMAIP1(27); PPARG(25); RB1(22); CDKN1B(20); BCL2(13),low
