drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.89109589545448,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),high
docetaxel,10.0,60.46436754681073,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),high
vinorelbine,10.0,52.814625534735484,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),high
vinblastine,10.0,48.322462533942556,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),moderate
methotrexate,10.0,43.83137067865427,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),moderate
temsirolimus,10.0,42.891185821468284,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),moderate
MG-132,10.0,33.193987413106186,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),moderate
lestaurtinib,10.0,28.682864847524268,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
navitoclax,10.0,27.456328671032974,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
lapatinib,10.0,26.88245117604062,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
bortezomib,10.0,26.041159861176293,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
AZD-6482,10.0,23.669059163036266,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
ABT-737,10.0,23.52559763701725,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
foretinib,10.0,23.460744864007257,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
MK-1775,10.0,22.109220594272013,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
staurosporine,10.0,21.743907951013053,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
gemcitabine,10.0,20.105556568484804,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
sorafenib,10.0,19.55666247501646,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
epirubicin,10.0,17.9127247420392,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
nilotinib,10.0,17.080285174439645,CCL2(34); HES1(14); PPARG(13); ABL1(12); CDK4(10),low
