drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.20041402709057,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),very_high
docetaxel,10.0,60.773685678446824,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),high
vinorelbine,10.0,53.09173825526155,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),high
vinblastine,10.0,48.599575254468625,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),moderate
temsirolimus,10.0,44.915737125901025,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),moderate
methotrexate,10.0,44.2799628858352,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),moderate
MG-132,10.0,33.64257962028712,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),moderate
lestaurtinib,10.0,30.65277690436059,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),moderate
navitoclax,10.0,29.426240727869253,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
lapatinib,10.0,27.276404135625103,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
bortezomib,10.0,26.48975206835726,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
ABT-737,10.0,25.495509693853528,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
AZD-6482,10.0,24.149856781327248,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
staurosporine,10.0,23.76845925544581,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
foretinib,10.0,23.737857584533362,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
MK-1775,10.0,22.590018212562995,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
gemcitabine,10.0,20.55414877566577,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
epirubicin,10.0,19.937276046471954,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
sorafenib,10.0,19.77913594794608,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
nilotinib,10.0,17.35739789496575,RB1(37); KDM5A(21); CCND1(20); HES1(16); EGR1(16),low
