drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.5731189471693,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),high
docetaxel,10.0,60.14639059852556,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),high
vinorelbine,10.0,52.61452946085466,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),high
vinblastine,10.0,48.122366460061734,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),moderate
temsirolimus,10.0,44.48093235665059,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),moderate
methotrexate,10.0,43.43050043025064,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),moderate
MG-132,10.0,33.66723179309754,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),moderate
lestaurtinib,10.0,30.71167171692673,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),moderate
navitoclax,10.0,29.505532148276128,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
lapatinib,10.0,27.250062701052403,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
bortezomib,10.0,26.560254588582122,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
ABT-737,10.0,25.574801114260403,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
AZD-6482,10.0,24.07027301603773,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
staurosporine,10.0,23.772714820415494,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
foretinib,10.0,23.306499137540914,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
MK-1775,10.0,22.51043444727348,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
gemcitabine,10.0,20.211424355154346,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
epirubicin,10.0,19.96192821928236,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
sorafenib,10.0,19.071239427420238,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
nilotinib,10.0,16.926039447973295,PPARG(31); RB1(31); PMAIP1(22); HSPB1(13); KDM5A(13),low
