drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,74.84588765433551,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),very_high
docetaxel,10.0,63.65703529418512,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),high
vinorelbine,10.0,57.19071164399927,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),high
vinblastine,10.0,52.90795200971496,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),high
methotrexate,10.0,50.43997766766245,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),high
temsirolimus,10.0,49.112969344486686,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
MG-132,10.0,40.69787808064233,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
lestaurtinib,10.0,36.431673966990076,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
lapatinib,10.0,34.91559858317903,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
bortezomib,10.0,33.78996898064205,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
navitoclax,10.0,31.781307332969778,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
AZD-6482,10.0,30.793274451235714,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),moderate
staurosporine,10.0,29.773833360372866,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
MK-1775,10.0,29.27285571821448,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
gemcitabine,10.0,28.00171345696106,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
ABT-737,10.0,27.85057629895406,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
foretinib,10.0,27.131700426565533,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
epirubicin,10.0,25.945872149177614,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
sorafenib,10.0,25.197136964974085,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
tanespimycin,10.0,23.526681503350158,CCL2(42); PPARG(37); BRCA1(36); RB1(36); CCND1(30),low
