drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),very_high
sirolimus,1.11,99.77255782057654,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),very_high
docetaxel,1.11,66.94351217378264,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),high
paclitaxel,10.0,66.24774605218603,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),high
vinorelbine,10.0,50.034050321309586,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),high
vinblastine,10.0,48.6406890124053,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
NVP-BEZ235,10.0,34.22867587828174,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
NVP-AUY922,1.11,34.13894378917563,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
lestaurtinib,10.0,33.353722497143366,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
methotrexate,10.0,33.04380506896207,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
epirubicin,10.0,31.65569584990835,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
camptothecin,1.11,30.833444612839287,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
gemcitabine,10.0,30.397412444028785,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),moderate
GDC-0941,10.0,28.690604199793185,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
staurosporine,10.0,28.485328808590232,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
SN-38,1.11,25.52923263778139,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
tanespimycin,10.0,25.444252980251886,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
nutlin-3,10.0,24.39852467079906,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
topotecan,1.11,22.559962354219415,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
navitoclax,10.0,21.799327585897483,HES1(17); JUN(17); EGR1(11); AKT1(11); KDM5A(10),low
