drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.33700779370847,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),high
docetaxel,10.0,59.9102794450647,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),high
vinorelbine,10.0,52.86627551697929,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),high
vinblastine,10.0,48.37411251618636,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),moderate
methotrexate,10.0,44.369362969004364,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),moderate
temsirolimus,10.0,44.04723628957542,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),moderate
MG-132,10.0,34.145206644192584,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),moderate
lestaurtinib,10.0,30.537168912247708,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),moderate
navitoclax,10.0,28.78960484244468,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
lapatinib,10.0,27.627547957136514,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
bortezomib,10.0,26.992379092262716,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
ABT-737,10.0,24.858873808428964,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
AZD-6482,10.0,24.482779857514615,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
staurosporine,10.0,23.65285126333292,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
foretinib,10.0,22.677534442946815,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
MK-1775,10.0,22.454701741368577,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
gemcitabine,10.0,20.643548858834926,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
epirubicin,10.0,19.821668054359066,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
sorafenib,10.0,19.553673209663803,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
nilotinib,10.0,17.131935156683472,RB1(27); EGR1(23); PMAIP1(22); CCL2(15); ABL1(13),low
