drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.546404203209,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),high
docetaxel,10.0,60.11967585456527,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),high
vinorelbine,10.0,52.58781471689438,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),high
vinblastine,10.0,48.09565171610145,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),moderate
methotrexate,10.0,43.919422682264596,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),moderate
temsirolimus,10.0,42.953404431594784,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),moderate
MG-132,10.0,33.69526635745281,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),moderate
lestaurtinib,10.0,29.184143791870916,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
navitoclax,10.0,27.957607615379622,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
lapatinib,10.0,27.232246917993223,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
bortezomib,10.0,26.54243880552294,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
AZD-6482,10.0,24.05245723297855,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
ABT-737,10.0,24.026876581363897,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
foretinib,10.0,23.233934046166176,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
MK-1775,10.0,22.492618664214298,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
staurosporine,10.0,22.2451868953597,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
gemcitabine,10.0,20.193608572095165,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
sorafenib,10.0,19.32985165717538,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
epirubicin,10.0,18.414003686385847,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
nilotinib,10.0,16.853474356598564,HDAC2(18); HMGCR(15); KDM5A(12); RB1(11); CHEK1(11),low
