drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.62804463143124,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),very_high
docetaxel,10.0,63.20131628278741,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),high
vinorelbine,10.0,55.15516031771934,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),high
vinblastine,10.0,50.87240068343503,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),high
methotrexate,10.0,48.037049748060696,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
temsirolimus,10.0,46.89881229127465,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
MG-132,10.0,38.662326754362375,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
lestaurtinib,10.0,34.65657724799816,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
lapatinib,10.0,32.77441440191953,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
bortezomib,10.0,31.800268001776594,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
navitoclax,10.0,31.78873123332514,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),moderate
AZD-6482,10.0,28.633869524652116,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
staurosporine,10.0,27.998736641380958,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
ABT-737,10.0,27.858000199309423,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
MK-1775,10.0,27.10086304272461,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
foretinib,10.0,26.904123459206627,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
gemcitabine,10.0,25.5987855373593,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
epirubicin,10.0,24.191172038026412,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
sorafenib,10.0,23.20743598610862,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
tanespimycin,10.0,21.49113017707022,CCL2(41); PPARG(31); EGR1(17); RB1(15); CDK4(15),low
