drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),very_high
sirolimus,1.11,100.0,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),very_high
docetaxel,1.11,67.20189740131714,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),high
paclitaxel,10.0,66.87000778278629,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),high
vinorelbine,10.0,51.30797209769103,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),high
vinblastine,10.0,49.914610788786746,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
NVP-BEZ235,10.0,35.500111314711226,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
NVP-AUY922,1.11,34.82774436037663,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
lestaurtinib,10.0,34.62515793357285,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
methotrexate,10.0,34.33252167282165,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
epirubicin,10.0,32.7729526874712,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
camptothecin,1.11,31.500003757619623,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
gemcitabine,10.0,31.218611220920653,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
staurosporine,10.0,30.36929200421826,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),moderate
GDC-0941,10.0,29.610681827422166,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),low
tanespimycin,10.0,26.732969584111455,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),low
SN-38,1.11,26.195791782561706,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),low
nutlin-3,10.0,25.67679360242988,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),low
topotecan,1.11,23.22652149899973,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),low
lapatinib,10.0,23.18069283014199,RB1(24); CHEK1(20); EGR1(15); PPARG(15); JUN(12),low
