drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),very_high
sirolimus,1.11,100.0,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),very_high
docetaxel,1.11,67.2769223665847,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),high
paclitaxel,10.0,66.94503274805385,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),high
vinorelbine,10.0,51.580382231897026,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),high
vinblastine,10.0,50.187020922992744,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),high
NVP-BEZ235,10.0,35.445025227619446,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
NVP-AUY922,1.11,34.89593583044289,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
lestaurtinib,10.0,34.57007184648107,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
methotrexate,10.0,34.407546638089215,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
epirubicin,10.0,33.002156251605456,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
camptothecin,1.11,31.573155486676576,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
gemcitabine,10.0,31.447814785054927,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
staurosporine,10.0,30.128724745985565,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),moderate
GDC-0941,10.0,29.685706792689732,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),low
tanespimycin,10.0,26.80799454937902,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),low
SN-38,1.11,26.268943511618623,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),low
nutlin-3,10.0,25.74498507249613,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),low
topotecan,1.11,23.299673228056648,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),low
navitoclax,10.0,23.163069155024612,KDM5A(32); RB1(24); PMAIP1(22); GATA3(19); JUN(17),low
