drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),very_high
temsirolimus,0.04,100.0,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),very_high
docetaxel,1.11,69.26216965833379,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),high
paclitaxel,10.0,68.56640353673718,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),high
vinorelbine,10.0,55.684665075258756,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),high
vinblastine,10.0,54.291303766354474,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),high
NVP-BEZ235,10.0,40.19173104504456,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
NVP-AUY922,1.11,39.30090548463111,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
camptothecin,1.11,36.92661083196154,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
lestaurtinib,10.0,35.4970024686318,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
GDC-0941,10.0,34.90139201767556,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
methotrexate,10.0,34.841479989004284,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
epirubicin,10.0,33.77490827488951,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
gemcitabine,10.0,32.94418342575442,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
SN-38,1.11,31.79532020379335,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
staurosporine,10.0,30.628608780078668,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),moderate
topotecan,1.11,28.82604992023128,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),low
nutlin-3,10.0,28.705871542163777,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),low
tanespimycin,10.0,28.145202560844183,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),low
BI-2536,1.11,27.604066549213368,HSPB1(33); CCL2(25); CASP3(22); JUN(18); KDM5A(15),low
