drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),very_high
sirolimus,1.11,99.11343192161505,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),very_high
docetaxel,1.11,66.26913461524366,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),high
paclitaxel,10.0,65.57336849364705,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),high
vinorelbine,10.0,49.359672762770565,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
vinblastine,10.0,47.96631145386628,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
NVP-AUY922,1.11,33.47139972583791,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
NVP-BEZ235,10.0,33.40690609995332,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
lestaurtinib,10.0,32.53195271881494,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
methotrexate,10.0,32.36942751042304,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
epirubicin,10.0,30.96403712393929,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
camptothecin,1.11,30.16748521867648,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),moderate
gemcitabine,10.0,29.70575371805973,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
GDC-0941,10.0,27.998945473824122,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
staurosporine,10.0,27.68084019769188,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
SN-38,1.11,24.863273243618575,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
tanespimycin,10.0,24.769875421712886,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
nutlin-3,10.0,23.713699440031302,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
topotecan,1.11,21.8940029600566,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
navitoclax,10.0,21.124950027358476,KDM5A(16); HDAC2(16); HES1(14); JUN(13); IKBKB(12),low
