drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),very_high
sirolimus,1.11,99.34437087467369,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),very_high
docetaxel,1.11,66.52577290010855,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),high
paclitaxel,10.0,65.83000677851194,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),high
vinorelbine,10.0,49.61982066524929,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
vinblastine,10.0,48.22645935634501,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
NVP-BEZ235,10.0,34.16707470429187,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
NVP-AUY922,1.11,33.72803801070284,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
methotrexate,10.0,33.12959611476162,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
lestaurtinib,10.0,32.80247643008991,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
epirubicin,10.0,31.234560835214232,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
gemcitabine,10.0,30.47980774880829,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
camptothecin,1.11,30.398424171735137,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),moderate
staurosporine,10.0,29.036255393798868,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
GDC-0941,10.0,28.200284010559432,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
tanespimycin,10.0,25.53004402605141,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
SN-38,1.11,25.094212196677233,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
nutlin-3,10.0,24.473868044369834,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
lapatinib,10.0,22.407019780442052,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
topotecan,1.11,22.124941913115258,RB1(29); PPARG(19); JUN(12); KDM5A(11); CDK4(10),low
