drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.85244746444802,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),very_high
docetaxel,10.0,61.42571911580425,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),high
vinorelbine,10.0,53.92606338924337,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),high
vinblastine,10.0,49.43390038845044,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),moderate
methotrexate,10.0,44.67027272011376,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),moderate
temsirolimus,10.0,44.14474554926193,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),moderate
MG-132,10.0,34.90700408296066,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),moderate
lestaurtinib,10.0,30.32084566194156,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),moderate
navitoclax,10.0,29.114706093290952,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
lapatinib,10.0,28.435195743319024,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
bortezomib,10.0,27.800026878445234,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
AZD-6482,10.0,25.27783989479082,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
ABT-737,10.0,25.183975059275234,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
foretinib,10.0,24.618033065929612,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
MK-1775,10.0,23.71800132602656,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
staurosporine,10.0,23.436528013026802,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
gemcitabine,10.0,21.451196645017443,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
sorafenib,10.0,20.65931142934233,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
epirubicin,10.0,19.62574141189366,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
nilotinib,10.0,18.237573376362,RB1(20); HDAC2(19); CHEK1(19); CCND1(14); CCL2(13),low
