drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),very_high
sirolimus,1.11,100.0,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),very_high
docetaxel,1.11,67.25470304270483,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),high
paclitaxel,10.0,66.55893692110823,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),high
vinorelbine,10.0,50.345241190231775,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),high
vinblastine,10.0,48.95187988132749,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
NVP-BEZ235,10.0,34.522585579773875,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
NVP-AUY922,1.11,34.45696815329912,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
lestaurtinib,10.0,33.6476321986355,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
methotrexate,10.0,33.35499593788427,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
epirubicin,10.0,31.79542695253377,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
camptothecin,1.11,31.127354314331445,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
gemcitabine,10.0,30.537143546654235,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),moderate
GDC-0941,10.0,28.929214153155748,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
staurosporine,10.0,28.796519677512446,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
SN-38,1.11,25.82314233927355,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
tanespimycin,10.0,25.7554438491741,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
nutlin-3,10.0,24.699267867492523,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
topotecan,1.11,22.853872055711573,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
navitoclax,10.0,22.110518454819697,HSPB1(16); HES1(13); KDM5A(11); PPARG(10); JUN(10),low
