drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),very_high
sirolimus,1.11,99.80638218907323,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),very_high
docetaxel,1.11,66.99461770970939,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),high
paclitaxel,10.0,66.29885158811278,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),high
vinorelbine,10.0,50.07036102975814,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),high
vinblastine,10.0,48.67699972085386,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
NVP-BEZ235,10.0,34.26250024677834,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
NVP-AUY922,1.11,34.19004932510228,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
lestaurtinib,10.0,33.38754686563996,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
methotrexate,10.0,33.0949106048887,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
epirubicin,10.0,31.689520218404972,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
camptothecin,1.11,30.843442885740302,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
gemcitabine,10.0,30.431236812525405,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),moderate
staurosporine,10.0,29.131680936285367,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
GDC-0941,10.0,28.66912882016021,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
SN-38,1.11,25.539230910682406,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
tanespimycin,10.0,25.495358516178563,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
nutlin-3,10.0,24.43234903929568,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
topotecan,1.11,22.56996062712043,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
lapatinib,10.0,22.372334270569212,HSPB1(23); PMAIP1(15); CHEK1(12); CCL2(12); EGR1(11),low
