drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),very_high
sirolimus,1.11,100.0,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),very_high
docetaxel,1.11,67.3972224890112,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),high
paclitaxel,10.0,67.06533287048035,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),high
vinorelbine,10.0,51.50329718538509,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),high
vinblastine,10.0,50.109935876480804,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),high
NVP-BEZ235,10.0,35.695436402405285,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
NVP-AUY922,1.11,35.023069448070686,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
lestaurtinib,10.0,34.82048302126691,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
methotrexate,10.0,34.52784676051571,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
epirubicin,10.0,33.122456374031955,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
camptothecin,1.11,31.669629513507417,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
gemcitabine,10.0,31.568114907481394,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),moderate
staurosporine,10.0,29.969370500143835,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
GDC-0941,10.0,29.8060069151162,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
tanespimycin,10.0,26.92829467180549,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
SN-38,1.11,26.365417538449492,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
nutlin-3,10.0,25.872118690123912,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
topotecan,1.11,23.396147254887516,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
navitoclax,10.0,23.283369277451087,KDM5A(46); RB1(18); JUN(15); HES1(13); HDAC2(10),low
