drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.46266005186418,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),high
docetaxel,10.0,60.03593170322046,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),high
vinorelbine,10.0,52.3539842800352,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),high
vinblastine,10.0,47.86182127924227,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),moderate
methotrexate,10.0,44.151997811093594,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),moderate
temsirolimus,10.0,43.02467337224862,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),moderate
MG-132,10.0,33.40668661227808,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),moderate
lestaurtinib,10.0,29.176415261824886,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
navitoclax,10.0,27.949879085333592,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
lapatinib,10.0,27.095150375212505,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
bortezomib,10.0,26.25385906034819,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
ABT-737,10.0,24.019148051317874,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
AZD-6482,10.0,23.91396377331818,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
foretinib,10.0,23.108031542574423,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
MK-1775,10.0,22.35412520455392,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
staurosporine,10.0,22.23745836531367,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
gemcitabine,10.0,20.426183700924135,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
sorafenib,10.0,18.872771832453747,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
epirubicin,10.0,18.406275156339824,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
nilotinib,10.0,16.619643919739364,PPARG(23); CCL2(18); HSPA1A(17); CHEK1(15); RB1(15),low
